time,fC2LE2,fC2LE4,fC2LE7,fC2LE9,fPGWh,fPGWm
2050-04-21,1.2523293,0.42409542,0.7878106,0.5399622,0.55235875,0.65436953
2050-04-22,0.9957296,0.42376494,0.7868143,0.53940606,0.5519586,0.6538772
2050-04-23,0.8563674,0.4234452,0.78585976,0.5387762,0.5515569,0.6533874
2050-04-24,0.78620285,0.42313,0.787548,0.53810453,0.5511535,0.65289915
2050-04-25,0.75352484,0.42281434,0.7992804,0.5374427,0.5507487,0.652411
2050-04-26,0.73932225,0.42249557,0.82597613,0.5368365,0.5503433,0.65192235
2050-04-27,0.7334154,0.42217413,0.85992336,0.53630376,0.5499382,0.6514332
2050-04-28,0.7309178,0.4218526,0.8845727,0.5358322,0.54953384,0.65094376
2050-04-29,0.72970945,0.42153397,0.88903767,0.5353949,0.54913,0.65045375
2050-04-30,0.7289526,0.42122003,0.8751902,0.5352298,0.5487261,0.6499629
2050-05-01,0.7319671,0.4209106,0.85229725,0.53887624,0.54832155,0.64947164
2050-05-02,4.7095423,0.4206041,0.8289241,0.5780424,0.5479163,0.6489814
2050-05-03,17.458004,0.42029852,0.80958796,0.7250159,0.5475102,0.6484936
2050-05-04,30.167885,0.41999346,0.79545784,1.0085504,0.54709756,0.6480091
2050-05-05,41.270382,0.4196906,0.7859483,1.3253964,0.5466575,0.64752793
2050-05-06,51.910847,0.419389,0.7798395,1.5124377,0.5461644,0.6470494
2050-05-07,69.02165,0.4190755,0.7759218,1.4974916,0.54561645,0.6465725
2050-05-08,94.4406,0.41872784,0.7733003,1.3359618,0.5450472,0.6460961
2050-05-09,128.26227,0.41833842,0.7714299,1.1283777,0.54450196,0.6456195
2050-05-10,169.02081,0.41792676,0.77051365,1.1021284,0.5440075,0.64514273
2050-05-11,212.76202,0.417523,0.79112536,1.982743,0.5435635,0.6446664
2050-05-12,251.99774,0.41714498,0.88658714,5.044881,0.5431543,0.644191
2050-05-13,277.09927,0.41679326,1.0888922,10.857892,0.54276365,0.64371705
2050-05-14,281.3227,0.41645965,1.3577805,17.93632,0.54238147,0.64324445
2050-05-15,264.76645,0.41644123,1.6515125,23.722704,0.5420033,0.6427731
2050-05-16,233.72778,3.3698282,2.039622,27.903011,0.73098904,0.7127926
2050-05-17,196.99345,12.905299,2.647955,31.67131,1.6026798,0.98301375
2050-05-18,162.1257,20.776228,3.59835,34.873093,3.1980772,1.4253767
2050-05-19,133.17912,23.362707,8.102283,36.442345,4.590566,1.779954
2050-05-20,110.42875,20.87576,18.297142,35.899166,4.848763,1.8151214
2050-05-21,92.047966,15.931635,31.16814,33.47857,4.032335,1.5557718
2050-05-22,76.13786,11.318065,41.92254,29.761145,2.8645089,1.2017564
2050-05-23,61.90422,8.256013,47.787197,25.456259,1.911108,0.9193914
2050-05-24,49.403927,7.333886,48.4636,21.360256,1.3127987,0.75584215
2050-05-25,38.90374,8.885363,45.155495,19.270782,2.8970582,1.7312354
2050-05-26,31.732466,12.573869,39.454365,25.569294,19.510113,11.915947
2050-05-27,39.470734,18.899632,32.651814,80.51061,47.32794,33.811794
2050-05-28,106.159615,29.563288,25.640114,178.77187,79.008896,60.42779
2050-05-29,229.43427,45.210197,19.070774,321.80093,118.2105,92.56252
2050-05-30,416.75214,64.39644,13.438024,522.764,164.96257,129.78934
2050-05-31,654.4771,84.359085,9.051617,773.9481,211.63431,166.39885
2050-06-01,928.4107,101.57408,6.053264,1051.652,247.47209,194.20338
2050-06-02,1215.7714,113.1121,4.64774,1333.9492,264.91034,207.2864
2050-06-03,1457.2502,125.449,8.924044,1603.2651,262.6994,204.55408
2050-06-04,1614.2085,156.13406,34.914875,1844.1968,245.5574,189.58853
2050-06-05,1671.0344,215.96233,74.552505,2012.1315,220.81857,168.23904
2050-06-06,1624.8807,299.2654,119.41085,2074.4324,202.28569,149.51906
2050-06-07,1500.7964,385.94937,171.53815,2053.886,199.42334,145.30162
2050-06-08,1334.991,450.50146,228.07913,1972.1154,210.70732,150.60759
2050-06-09,1159.538,475.92166,274.9459,1843.3398,241.36537,172.15591
2050-06-10,995.03174,461.56906,299.2291,1677.3615,302.96854,221.60918
2050-06-11,850.47736,419.30142,318.53488,1490.6929,412.564,315.52435
2050-06-12,731.54706,366.48898,375.03027,1304.6725,567.3813,453.15485
2050-06-13,646.7503,323.3899,495.8823,1135.6583,759.8048,639.9032
